pid,stad,size,sum,own_base,shrunk,edge_pp,stat,name,role,team,last_season
00-0040784,FirstEnergy Stadium,6,3,0.36363636363636365,0.3951048951048951,3.1,rush_yards,Q.Judkins,RB,CLE,2025
00-0032813,MetLife Stadium,6,3,0.36363636363636365,0.3951048951048951,3.1,rush_yards,E.Penny,RB,NYG,2021
00-0037247,Acrisure Stadium,20,11,0.49056603773584906,0.5202830188679245,3.0,rec_yards,G.Pickens,WR,DAL,2025
00-0031484,TIAA Bank Stadium,4,3,0.5714285714285714,0.6011904761904762,3.0,rec_yards,C.Manhertz,TE,NYG,2025
00-0032062,GEHA Field at Arrowhead Stadium,6,3,0.3684210526315789,0.39878542510121456,3.0,rec_yards,B.Bell,TE,KC,2023
00-0039923,U.S. Bank Stadium,4,3,0.5714285714285714,0.6011904761904762,3.0,pass_yards,J.McCarthy,QB,MIN,2025
00-0036567,Levi's Stadium,10,7,0.6111111111111112,0.6407407407407407,3.0,rush_yards,E.Mitchell,RB,KC,2025
00-0023459,Ford Field,4,3,0.5671641791044776,0.597636815920398,3.0,pass_yards,A.Rodgers,QB,PIT,2025
00-0033114,Paul Brown Stadium,5,2,0.25,0.28,3.0,rec_yards,Mi.Thomas,WR,CIN,2022
00-0037258,NRG Stadium,13,6,0.38461538461538464,0.41491841491841497,3.0,rush_yards,D.Pierce,RB,KC,2025
00-0037005,Bank of America Stadium,27,12,0.39215686274509803,0.42219440967876515,3.0,rec_yards,T.Tremble,TE,CAR,2025
00-0033757,Lambeau Field,16,6,0.3076923076923077,0.3376068376068376,3.0,rec_yards,R.Tonyan,TE,KC,2025
00-0034869,U.S. Bank Stadium,6,4,0.5357142857142857,0.5659340659340659,3.0,pass_yards,S.Darnold,QB,SEA,2025
00-0040126,Soldier Field,6,4,0.5384615384615384,0.5680473372781065,3.0,rec_yards,C.Loveland,TE,CHI,2025
00-0034857,Gillette Stadium,5,3,0.45,0.48,3.0,pass_yards,J.Allen,QB,BUF,2025
